ID	hIndex	paperNum	citationSum	TN	country
2106238981	27	90	3485	1	US
2558543881	13	22	5660	1	GB
105756682	26	38	12612	1	CA
11059210	17	44	1082	1	US
2780207114	1	1	18	1	US
2629003279	1	1	45	1
2120433680	22	92	1437	1	US
2514122770	57	108	17979	1	US
1989816340	5	7	614	1	US
2156083226	13	60	496	1	GR
2138259483	4	8	40	1	US
2166546464	10	11	581	1	US
2153338916	14	23	930	1	US
2404485160	1	1	1	1	US
2985693224	1	2	42	1
2135408682	11	43	806	1	US
1964853290	17	53	3773	1	US
65685553	20	55	2123	1	CA
318025778	18	39	5328	1	US
107632699	29	99	3396	1	CA
2722912317	1	2	16	1	US
2111901760	8	9	237	1	US
2460936257	1	2	2	1	US
2285275206	1	1	404	1	NO
1208922185	6	12	75	1	DE
2464094287	27	54	7633	1	US
2159767633	19	76	1264	1	FR
1540776023	3	3	134	1	FR
2151264347	32	135	5384	1	IL
2260621408	2	3	423	1	US
2494990432	4	5	519	1	US
2114973795	2	6	54	1	BR
2151780452	16	34	1030	1	US
181516391	14	194	957	1	PL
85442675	27	136	2554	1	FR
1973897333	2	2	42	1	US
2086393978	38	202	6131	1	DE
1980393595	5	5	126	1	US
2110529662	11	36	714	1	US
2120636544	6	6	291	1	US
2163136642	8	30	2719	1	US
2941995138	9	14	657	1	US
2508456075	7	15	305	1	US
1993734283	38	154	9438	1	IL
2116327567	14	38	932	1	US
4823187	15	35	1175	1	US
2062901400	42	150	7779	1	US
2114521251	10	12	2450	1	US
2710372522	8	11	2755	1	US
2613223595	3	14	72	1	US
2724047020	0	1	0	1	US
2132590765	20	59	1265	1	GB
2156007599	6	7	221	1	US
609509551	15	69	769	1	CA
2285891762	4	7	764	1	IL
1998155958	1	1	15	1
2007814330	21	98	1362	1	IN
1023361224	79	297	30084	1	IL
1234911434	21	72	1634	1	US
2236934353	20	41	5973	1	US
431165649	47	108	8924	1	US
1740826834	4	7	366	1	US
2156312790	46	179	10666	1	US
2223851735	1	1	19	1	US
2237110490	39	84	12203	1	US
2134696157	14	38	1084	1	US
2097006817	8	8	208	1	US
2889300199	7	10	332	1	GB
694493417	42	129	6593	1	FR
1919981802	10	56	250	1	US
307687659	47	204	9128	1	IL
2169348332	47	138	15138	1	US
250841333	31	138	4591	1	US
2406686966	3	4	371	1	US
2153265399	13	29	1441	1	US
2281634038	0	1	0	1	CA
2585487612	36	85	6541	1	US
