country	aveTN
US	3.2385801917694
CN	3.893542757417103
DE	3.484457004440856
FR	3.5783238262395787
CA	3.4357142857142855
GB	3.530430220356768
JP	3.981132075471698
BR	3.8107714701601165
KR	4.069182389937107
IT	3.577023498694517
ES	3.8602739726027395
IN	4.094619666048238
TW	4.061895551257253
AU	3.766509433962264
IL	2.870699881376038
NL	3.6996996996997
SG	3.6350515463917525
CH	3.281720430107527
PL	4.017114914425428
IR	4.272251308900524
SE	3.7506775067750677
AT	3.3961218836565097
TR	4.214076246334311
HK	3.5671641791044775
PT	3.7223880597014927
DK	3.3229813664596275
GR	3.7889273356401385
BE	3.622950819672131
NO	3.4718614718614718
CZ	3.652173913043478
FI	3.918181818181818
PK	4.128571428571429
HU	3.8514851485148514
MX	4.350282485875706
RU	3.977272727272727
IE	3.5067567567567566
NZ	3.7183098591549295
AR	3.648
RO	3.870967741935484
MY	4.520408163265306
SI	3.734042553191489
CL	4.091954022988506
EG	4.464285714285714
TH	4.32
AE	4.028985507246377
SA	4.130434782608695
UY	4.1940298507462686
TN	4.258064516129032
JO	4.5423728813559325
CO	4.087719298245614
CY	3.150943396226415
ID	4.679245283018868
HR	4.291666666666667
DZ	4.409090909090909
SK	4.162790697674419
ZA	4.285714285714286
RS	4.585365853658536
BG	4.5675675675675675
BD	4.617647058823529
VN	4.066666666666666
MA	4.7
LU	3.0
EE	4.0
LK	4.095238095238095
PR	4.578947368421052
IS	3.5294117647058822
UA	4.125
QA	3.769230769230769
LB	3.6153846153846154
CR	3.6363636363636362
LT	4.818181818181818
MK	4.545454545454546
KW	4.3
PH	4.7
CU	4.111111111111111
MO	3.625
KZ	5.25
HT	3.0
JM	3.857142857142857
VE	3.7142857142857144
BY	4.285714285714286
GP	4.0
PA	4.0
EC	4.285714285714286
OM	3.5
MT	3.0
PF	4.2
BH	4.6
IQ	4.5
AL	4.25
NG	5.0
FJ	3.6666666666666665
BN	3.3333333333333335
SN	4.0
ET	4.0
TT	4.666666666666667
GE	2.5
MD	3.5
DJ	3.5
ME	4.0
CW	3.0
AM	3.0
VA	3.0
HN	3.0
GF	3.0
NP	3.0
ZW	3.0
BA	4.0
KE	4.0
LV	4.0
GH	4.0
GT	4.0
PE	4.0
BO	4.0
GU	4.0
SD	5.0
KH	5.0
RW	5.0
TZ	6.0
