country	TN0	TN1	TN2	TN3	TN4	TN5	TN6	TN7
US	53	479	2662	7326	4970	1114	161	26
CN	1	7	160	933	1572	634	115	16
DE	0	16	247	1059	899	204	36	16
FR	0	32	192	820	942	253	34	6
CA	3	52	230	739	719	180	30	7
GB	7	20	198	703	726	214	36	2
JP	0	1	41	329	685	263	52	7
BR	0	3	55	385	717	188	22	4
KR	0	1	26	257	628	324	32	4
IT	0	5	102	430	470	121	21	0
ES	0	1	33	328	523	181	24	5
IN	0	1	42	255	416	291	66	7
TW	0	2	41	203	512	210	53	13
AU	0	0	38	277	402	109	20	2
IL	3	34	227	402	159	18	0	0
NL	0	2	49	213	303	85	10	4
SG	0	1	32	182	203	63	3	1
CH	2	5	63	224	136	31	4	0
PL	0	1	28	100	156	87	32	5
IR	0	0	4	50	182	134	8	4
SE	0	1	18	124	167	49	8	2
AT	0	2	49	145	137	25	3	0
TR	0	0	5	52	175	85	22	2
HK	0	2	26	134	134	31	8	0
PT	0	1	15	113	163	35	6	2
DK	1	7	52	122	113	22	4	1
GR	0	1	14	106	118	31	12	7
BE	0	2	18	82	116	21	4	1
NO	2	5	28	75	92	26	3	0
CZ	0	0	10	86	110	22	2	0
FI	0	0	5	65	105	33	12	0
PK	0	0	2	36	113	53	4	2
HU	0	0	5	59	104	30	3	1
MX	0	0	1	19	84	63	10	0
RU	0	1	17	34	76	34	9	5
IE	0	0	11	58	72	7	0	0
NZ	0	0	5	55	60	19	3	0
AR	0	1	10	35	65	14	0	0
RO	0	1	8	34	49	27	5	0
MY	0	0	0	6	39	49	4	0
SI	0	1	4	35	34	19	1	0
CL	0	0	5	18	38	18	6	2
EG	0	0	0	3	44	33	3	1
TH	0	0	1	15	26	26	6	1
AE	0	0	2	15	33	17	2	0
SA	0	0	1	19	22	24	3	0
UY	0	0	4	16	23	12	11	1
TN	0	0	1	9	27	23	2	0
JO	0	0	0	4	25	24	6	0
CO	0	0	1	5	39	12	0	0
CY	0	0	8	29	16	0	0	0
ID	0	0	0	6	17	20	8	2
HR	0	0	2	6	16	24	0	0
DZ	0	0	0	1	25	17	1	0
SK	0	0	0	6	25	11	1	0
ZA	0	0	1	6	21	9	4	1
RS	0	0	0	4	12	22	3	0
BG	0	0	0	5	16	8	6	2
BD	0	0	0	4	13	9	8	0
VN	0	0	0	5	19	5	1	0
MA	0	0	0	1	11	14	4	0
LU	0	2	5	9	9	0	0	0
EE	0	0	0	5	11	5	0	0
LK	0	0	0	1	18	1	1	0
PR	0	0	0	4	4	7	4	0
IS	0	0	2	5	9	1	0	0
UA	0	0	1	3	5	7	0	0
QA	0	0	1	4	7	0	0	1
LB	0	0	2	3	6	2	0	0
CR	0	0	1	2	8	0	0	0
LT	0	0	0	1	1	8	1	0
MK	0	0	0	0	5	6	0	0
KW	0	0	0	2	4	3	1	0
PH	0	0	0	1	2	6	1	0
CU	0	0	0	1	6	2	0	0
MO	0	0	1	1	6	0	0	0
KZ	0	0	0	0	1	4	3	0
HT	0	1	1	3	1	1	0	0
JM	0	0	1	3	0	2	1	0
VE	0	0	1	2	2	2	0	0
BY	0	0	0	1	4	1	1	0
GP	0	0	0	2	3	2	0	0
PA	0	0	0	1	5	1	0	0
EC	0	0	0	1	4	1	1	0
OM	0	0	1	1	4	0	0	0
MT	0	0	1	3	1	0	0	0
PF	0	0	0	1	2	2	0	0
BH	0	0	0	0	2	3	0	0
IQ	0	0	0	0	2	2	0	0
AL	0	0	0	0	3	1	0	0
NG	0	0	0	0	1	2	1	0
FJ	0	0	0	1	2	0	0	0
BN	0	0	0	2	1	0	0	0
SN	0	0	0	1	1	1	0	0
ET	0	0	0	1	1	1	0	0
TT	0	0	0	0	1	2	0	0
GE	0	0	1	1	0	0	0	0
MD	0	0	0	1	1	0	0	0
DJ	0	0	0	1	1	0	0	0
ME	0	0	0	0	2	0	0	0
CW	0	0	0	1	0	0	0	0
AM	0	0	0	1	0	0	0	0
VA	0	0	0	1	0	0	0	0
HN	0	0	0	1	0	0	0	0
GF	0	0	0	1	0	0	0	0
NP	0	0	0	1	0	0	0	0
ZW	0	0	0	1	0	0	0	0
BA	0	0	0	0	1	0	0	0
KE	0	0	0	0	1	0	0	0
LV	0	0	0	0	1	0	0	0
GH	0	0	0	0	1	0	0	0
GT	0	0	0	0	1	0	0	0
PE	0	0	0	0	1	0	0	0
BO	0	0	0	0	1	0	0	0
GU	0	0	0	0	1	0	0	0
SD	0	0	0	0	0	1	0	0
KH	0	0	0	0	0	1	0	0
RW	0	0	0	0	0	1	0	0
TZ	0	0	0	0	0	0	1	0
