country	hIndexTotal	paperNumTotal	citationTotal
US	93856	258520	11041155
CN	10031	33838	555686
DE	11465	35863	741983
FR	10078	30937	565882
CA	9367	29267	1054307
GB	9687	27970	793885
JP	3789	14719	146633
BR	3550	12554	116604
KR	3564	9957	139379
IT	7420	28232	501088
ES	4956	17099	249063
IN	2581	7609	107783
TW	2912	8104	131686
AU	4041	14851	277324
IL	5549	19909	650138
NL	2963	8477	213587
SG	2416	8703	162619
CH	2580	7064	192102
PL	1481	5103	54305
IR	856	2168	20121
SE	1592	4537	87476
AT	2016	6939	134258
TR	985	2853	38405
HK	1969	7000	162939
PT	1129	3960	43794
DK	1562	4490	113510
GR	1327	4867	81912
BE	1289	4642	71814
NO	1114	3926	63645
CZ	955	3276	36615
FI	920	2733	47553
PK	393	1008	7956
HU	743	2372	32278
MX	350	1068	8972
RU	443	1413	13267
IE	769	2291	44540
NZ	521	1778	19999
AR	314	919	7604
RO	290	837	13905
MY	227	597	5096
SI	366	1080	22521
CL	277	854	12633
EG	178	512	4492
TH	164	497	5098
AE	272	1087	13391
SA	192	591	5702
UY	113	341	2474
TN	115	336	2417
JO	129	325	3014
CO	92	210	1162
CY	294	1217	16478
ID	68	212	1346
HR	129	400	3990
DZ	59	158	607
SK	98	208	1809
ZA	115	307	3995
RS	84	270	1517
BG	94	311	2863
BD	67	242	2025
VN	50	101	712
MA	37	68	433
LU	179	785	13644
EE	49	174	1377
LK	34	104	571
PR	44	112	1220
IS	79	314	5900
UA	41	129	1123
QA	92	779	12619
LB	31	67	1003
CR	21	58	695
LT	15	45	222
MK	15	62	145
KW	25	40	279
PH	10	20	181
CU	16	23	184
MO	18	43	315
KZ	10	20	37
HT	44	152	2258
JM	16	40	918
VE	12	25	322
BY	15	50	159
GP	13	26	100
PA	11	40	235
EC	10	23	93
OM	38	174	2028
MT	21	108	793
PF	16	37	416
BH	7	9	40
IQ	4	17	129
AL	5	18	26
NG	6	9	32
FJ	19	49	1000
BN	4	9	18
SN	5	22	31
ET	2	3	6
TT	12	29	437
GE	9	17	268
MD	7	17	132
DJ	5	11	70
ME	7	12	129
CW	13	32	406
AM	3	6	115
VA	2	5	9
HN	1	1	62
GF	1	2	4
NP	4	4	36
ZW	2	2	18
BA	1	1	5
KE	0	1	0
LV	1	1	9
GH	1	3	6
GT	5	23	138
PE	0	1	0
BO	1	1	3
GU	1	3	1
SD	0	2	0
KH	0	1	0
RW	0	1	0
TZ	1	1	5
