country	hIndex	paperNum	citationSum	TN
US	-0.42140672947101593	-0.39209997683677444	-0.4118926101196253	1.0
CN	-0.34745666743194936	-0.34274163290902093	-0.3161484499285611	1.0
DE	-0.4736076255829652	-0.44461541719197367	-0.4444970526492803	1.0
FR	-0.41818868024007416	-0.40112704080012757	-0.3780817340650169	1.0
CA	-0.39183911735944854	-0.3677805952293613	-0.3571148387141499	1.0
GB	-0.43783538061358196	-0.43597306455423923	-0.39248239366555865	1.0
JP	-0.3703889754746379	-0.36074489622997985	-0.34584052274325255	1.0
BR	-0.3941312560361883	-0.37540631292713855	-0.36014031790282314	1.0
KR	-0.33436385965409593	-0.34417081125486976	-0.2896114095779616	1.0
IT	-0.48829886826198804	-0.4919206107848405	-0.44790152116431703	1.0
ES	-0.43429569150468356	-0.41140962120413527	-0.40364455286747464	1.0
IN	-0.320112075433499	-0.30600533704573474	-0.3089708649487621	1.0
TW	-0.28737077951406903	-0.29725566149611454	-0.21082802050897204	1.0
AU	-0.4552074356570422	-0.4547848798754818	-0.41069251305895493	1.0
IL	-0.446435677705812	-0.42217914866093165	-0.42203371213613655	1.0
NL	-0.4534231478253709	-0.4383631527742094	-0.41266024980734517	1.0
SG	-0.4560382314378158	-0.4459827510837318	-0.4076678790652983	1.0
CH	-0.4348704204225435	-0.39759794194936465	-0.4074917597237816	1.0
PL	-0.36468506829167613	-0.3818560748559119	-0.31528163058081976	1.0
IR	-0.3561606179187435	-0.37114730100057525	-0.2714617448227829	1.0
SE	-0.4057906115071915	-0.39849201305312304	-0.3712464592202561	1.0
AT	-0.44749333321168183	-0.45271085845476466	-0.4187435716178951	1.0
TR	-0.30767571569055985	-0.33640219258469994	-0.2529713223906696	1.0
HK	-0.43561557325104633	-0.43561181735226356	-0.38138440713580846	1.0
PT	-0.4172485172936585	-0.40461216562357766	-0.36425911324154553	1.0
DK	-0.38583030651363504	-0.39496074999142583	-0.38200160704542907	1.0
GR	-0.45713134001557	-0.45117904247819685	-0.368735024845425	1.0
BE	-0.47229719739220294	-0.49726345751424256	-0.4022739547246457	1.0
NO	-0.3684909380101671	-0.36380045670235484	-0.31379723886619726	1.0
CZ	-0.49289970328087945	-0.4510112941712521	-0.47041887230390755	1.0
FI	-0.47188303776100604	-0.45476672441094756	-0.43350787263045215	1.0
PK	-0.34267100466453915	-0.3637126298297678	-0.3118678355310793	1.0
HU	-0.48308035582885445	-0.4595204026227009	-0.4417478272731915	1.0
MX	-0.32545738148156517	-0.3645093727322957	-0.2772789670899123	1.0
RU	-0.3716918515672822	-0.3375116120161521	-0.39597126439568836	1.0
IE	-0.5301340858152648	-0.5166731463678677	-0.5037653645260997	1.0
NZ	-0.35464991761852144	-0.37345368553174135	-0.31981572672112235	1.0
AR	-0.29898275540120256	-0.3451439787712573	-0.29077855259853375	1.0
RO	-0.3484897174121224	-0.3459578792804269	-0.39385071334341165	1.0
MY	-0.4911141164941751	-0.5201382474913223	-0.3742582479272095	1.0
SI	-0.42403528722304673	-0.34915102719515084	-0.41576974784160503	1.0
CL	-0.2891991519331803	-0.30244720515044377	-0.27628402366732907	1.0
EG	-0.09186268113064798	-0.16301802254546954	-0.06341552408722928	1.0
TH	-0.2892695693294009	-0.3302574377142863	-0.14199652817958924	1.0
AE	-0.5006141434270106	-0.49380457499109587	-0.43176463625393907	1.0
SA	-0.6093813340726795	-0.5350321396745644	-0.5562567902854669	1.0
UY	-0.5210625583392359	-0.290695331921529	-0.4991251635247969	1.0
TN	-0.42622231266292315	-0.3752339312277797	-0.3906246975307471	1.0
JO	-0.41924903129491925	-0.4471502044067009	-0.35618701903846667	1.0
CO	-0.15371615259971405	-0.2742091364912527	-0.24213249223923633	1.0
CY	-0.4983008760110724	-0.465131414150351	-0.42760821727021486	1.0
ID	-0.46971139230102077	-0.5129766803537459	-0.35170058117367575	1.0
HR	-0.5134412509477823	-0.4821208390512318	-0.4430782982448574	1.0
DZ	-0.3059916795182523	-0.4077199453352493	-0.2795930415936045	1.0
SK	-0.38064736007578304	-0.40187763708602364	-0.3086744059905548	1.0
ZA	-0.36366549999822567	-0.2729419365987645	-0.38321042451045545	1.0
RS	-0.18062876161032076	-0.1515649889176816	-0.0914835602306265	1.0
BG	-0.4945950213170459	-0.4100739640181195	-0.4863759139191135	1.0
BD	-0.31582654644395414	-0.6145315981665659	-0.07680184599722129	1.0
VN	-0.11106845926134362	-0.06897290107502498	-0.14490650862200544	1.0
MA	0.35006309375783584	0.040514191948385125	0.42152461491367266	1.0
LU	-0.6799300041397326	-0.615546067446853	-0.7039065914812987	1.0
EE	-0.30754446986083567	-0.4541243840942218	-0.5013755936024853	1.0
LK	-0.2964318699919271	-0.22884433638586946	-0.416281597934728	1.0
PR	-0.31666132937018376	-0.12281886275761886	-0.27269628627341747	1.0
IS	-0.45479138733325786	-0.45479138733325786	-0.47975706030074217	1.0
UA	-0.19125141944939625	-0.14732761572966946	-0.03987657363697194	1.0
QA	-0.5445811486371709	-0.42322605870545776	-0.574476212090816	1.0
LB	-0.3698654515264976	-0.4742231080640093	-0.1047462974708691	1.0
CR	-0.20464687117164013	-0.19814848097530427	-0.21350420507344953	1.0
LT	-0.40061680838488767	-0.29704426289300223	-0.3688778299954577	1.0
MK	-0.4442616583193193	-0.19489611623639658	-0.5653009971610737	1.0
KW	-0.29424494316824984	-0.40599897147057507	-0.280305955290694	1.0
