country	hIndex	paperNum	citationSum	TN
US	-0.4449607276643926	-0.3296494167967081	-0.2955640918196703	1.0
CN	-0.3729978054484272	-0.26664588759626195	-0.21143249205643602	1.0
DE	-0.4615410482118418	-0.37648327083793254	-0.2204218894170227	1.0
FR	-0.4652852471904059	-0.39435527640289597	-0.2648985455866795	1.0
CA	-0.4295721152306971	-0.2998119701846996	-0.23559087073294646	1.0
GB	-0.4656721712218811	-0.3864383230041203	-0.30645630835791554	1.0
JP	-0.4214643727530299	-0.3477399154406923	-0.28661940277446823	1.0
BR	-0.4481638869446587	-0.3932259869602142	-0.2891229721897664	1.0
KR	-0.4183912407153589	-0.32770122809995134	-0.2765847063357669	1.0
IT	-0.5343039581150814	-0.4612288012375635	-0.37823946513788903	1.0
ES	-0.4958837590936051	-0.4084882407508347	-0.27739529804600543	1.0
IN	-0.3768862503048021	-0.30926886044635754	-0.2394393368288464	1.0
TW	-0.35656503998152467	-0.2863775709222522	-0.23625338038876575	1.0
AU	-0.4767672387006582	-0.3980396833783243	-0.27544481414015165	1.0
IL	-0.5140123921232139	-0.4293382198135991	-0.38597842479911715	1.0
NL	-0.46907065365909945	-0.3363764279610711	-0.28253121686908594	1.0
SG	-0.4303636686950234	-0.3486664996569096	-0.3143762038266109	1.0
CH	-0.484237916421146	-0.3935573064520498	-0.37999708495369094	1.0
PL	-0.4277665877922297	-0.4099240684360197	-0.3124565665511794	1.0
IR	-0.37683935086969506	-0.36132307118507834	-0.239385120596297	1.0
SE	-0.48342242583325096	-0.4229014146150668	-0.3574878277250699	1.0
AT	-0.4975333352845988	-0.39187092618468455	-0.3286048195302801	1.0
TR	-0.41077955743244865	-0.35007647064191466	-0.3476228905255091	1.0
HK	-0.4662245249959994	-0.39906531114182475	-0.34424973287306854	1.0
PT	-0.5140005051557988	-0.3954311442697994	-0.3494080924851121	1.0
DK	-0.44257942437464104	-0.33627019500763483	-0.31658556031399127	1.0
GR	-0.4320868924370689	-0.3411070429324646	-0.24553720571932594	1.0
BE	-0.5495088889077347	-0.4255653073648271	-0.38911728696429887	1.0
NO	-0.3607826039786954	-0.2520752077598709	-0.236303911355644	1.0
CZ	-0.5770444442086644	-0.5179139554750548	-0.42561293238951514	1.0
FI	-0.5005090215699358	-0.41197177547649744	-0.3495704055864259	1.0
PK	-0.3909588471547954	-0.37768613278281704	-0.32128981207314794	1.0
HU	-0.5278876599797965	-0.4579274037959853	-0.3480044289305029	1.0
MX	-0.4216509618326907	-0.38228590063914314	-0.2862683397038902	1.0
RU	-0.46692623615301654	-0.4365142042634996	-0.3494041570495965	1.0
IE	-0.5658140497652584	-0.45160975816638776	-0.41944058538009193	1.0
NZ	-0.4126573711992672	-0.31045619018585646	-0.3014466570950075	1.0
AR	-0.5084465899651377	-0.512488082116725	-0.4072519426896991	1.0
RO	-0.4395417468686036	-0.3946378291996761	-0.2571878576369289	1.0
MY	-0.5109455184154733	-0.4930648885885543	-0.33681323362727905	1.0
SI	-0.42617457896016286	-0.3150297092255651	-0.33367236151889157	1.0
CL	-0.4166377272900745	-0.4534483108272317	-0.3358975322834429	1.0
EG	-0.33435149950646503	-0.3561280708093848	-0.3539043486787458	1.0
TH	-0.43285923842400464	-0.4344301786357201	-0.3625414199641384	1.0
AE	-0.5912657746664007	-0.43608276520440226	-0.46099565410158694	1.0
SA	-0.5856271576959877	-0.525789600851669	-0.47054122597757597	1.0
UY	-0.5647607496286781	-0.34258767280345653	-0.3584362793016954	1.0
TN	-0.29053685900806775	-0.2593247606940768	-0.04303939503298882	1.0
JO	-0.4970778662154419	-0.4250887935557028	-0.430232181823761	1.0
CO	-0.2271541325936709	-0.33810752412703055	-0.4526305028013162	1.0
CY	-0.6178097653078827	-0.5670874642843479	-0.5579120646330525	1.0
ID	-0.5522051306395839	-0.493667139555656	0.16459562883738285	1.0
HR	-0.5217102528904928	-0.3612898030636381	-0.2613444449881186	1.0
DZ	-0.3841689318265257	-0.3447442419550941	-0.31002714530555625	1.0
SK	-0.45249871392202823	-0.4654343005505738	-0.40690337031104334	1.0
ZA	-0.3962347302067439	-0.43074361843039544	-0.21344957311988588	1.0
RS	-0.210210003479832	-0.12438751006919012	-0.1293722537669175	1.0
BG	-0.4025328961839904	-0.4439964813147595	-0.23452738154272507	1.0
BD	-0.4071609340895348	-0.3648517586689009	-0.3400961690069062	1.0
VN	-0.18714045988010705	-0.2121211567392974	-0.14304651819936823	1.0
MA	0.21868548717706418	-0.09512542781384187	-0.11928050172671767	1.0
LU	-0.8061587474149282	-0.7231351931413592	-0.7132474531210349	1.0
EE	-0.3973307439861884	-0.38586607695014213	-0.3785260639886211	1.0
LK	-0.4640493376928549	-0.4730456801463179	-0.48028304774426206	1.0
PR	-0.4460179774366004	-0.3603048993080247	-0.46217538674609027	1.0
IS	-0.5597407641822473	-0.5113442551332184	-0.4979582896806927	1.0
UA	-0.181612492149371	-0.11980727459506259	-0.134382157089067	1.0
QA	-0.36017996485158016	-0.22461604329370866	-0.227362125839883	1.0
LB	-0.21149928264282744	-0.3307822845424881	-0.020911460522504886	1.0
CR	-0.38367212705025733	-0.28108424134178867	-0.803944757804694	1.0
LT	-0.7157635398879295	-0.5846878872634079	-0.6219943055603265	1.0
MK	-0.5338539126015656	-0.48681550384048455	-0.5424895354108186	1.0
KW	-0.2862991671569341	-0.41677431856528935	-0.23254572424692121	1.0
