country	hIndex	paperNum	citationSum	TN
US	-0.5093241439869406	-0.4813958026749452	-0.5232855275703976	1.0
CN	-0.4110427502273182	-0.40998075694849456	-0.40198892190096597	1.0
DE	-0.5640451162215038	-0.5435706678406809	-0.555628587599747	1.0
FR	-0.5025238427550328	-0.48969778947735615	-0.48070663028865435	1.0
CA	-0.4711150343199978	-0.45255010698004045	-0.4541287638852149	1.0
GB	-0.5280576486127789	-0.5336184119251915	-0.503585094146418	1.0
JP	-0.43736911041947174	-0.4305590424116444	-0.4357602416085673	1.0
BR	-0.460166868950644	-0.4456805697638704	-0.4471905364749359	1.0
KR	-0.3980795078395815	-0.41518911370328315	-0.3674190121086477	1.0
IT	-0.5936187835937241	-0.6057612604751891	-0.5675860157653465	1.0
ES	-0.5184742411585337	-0.5016584574404421	-0.5059700431978356	1.0
IN	-0.379253793893331	-0.3680667307316304	-0.3966418172581197	1.0
TW	-0.34100685682951803	-0.35495883693764446	-0.2710124871134393	1.0
AU	-0.5444233665202167	-0.5524576058358764	-0.5172121882359949	1.0
IL	-0.5310224901690832	-0.5104562991398492	-0.5266020241524315	1.0
NL	-0.543009225431113	-0.5302592911205715	-0.521540723614298	1.0
SG	-0.5442397193977352	-0.5370904668781862	-0.5125520771627196	1.0
CH	-0.5277688021297716	-0.49340955660887864	-0.5174999271261429	1.0
PL	-0.4483286396572257	-0.4732333091996273	-0.4103940491045053	1.0
IR	-0.41303886384694377	-0.4304491757170162	-0.34370918015864793	1.0
SE	-0.48722688600492253	-0.4821469838246527	-0.4716873081674665	1.0
AT	-0.5510056258793026	-0.5641463826372337	-0.535339082666794	1.0
TR	-0.360022760935053	-0.4024131094789065	-0.3172772544459139	1.0
HK	-0.5216635774867562	-0.5320803671006867	-0.48691556266257335	1.0
PT	-0.4933432335468489	-0.4876823702318516	-0.4595695400600636	1.0
DK	-0.46907172605758624	-0.4880569376772788	-0.49103303836631035	1.0
GR	-0.5520361308762153	-0.5515639672206902	-0.4723418341921341	1.0
BE	-0.5611414779240904	-0.5979314245264429	-0.5065566150165338	1.0
NO	-0.45069255520912654	-0.45073855074369285	-0.4060390223903084	1.0
CZ	-0.5747269557467029	-0.5353741019058663	-0.5666280163437005	1.0
FI	-0.5628256466508169	-0.5470817793760036	-0.5442767610110382	1.0
PK	-0.39101853088988553	-0.42414444912060395	-0.38337325837083286	1.0
HU	-0.5661305710866994	-0.5500344207218038	-0.5522475258191575	1.0
MX	-0.3799625810496414	-0.4264417739310552	-0.34817672161859553	1.0
RU	-0.44811457623877227	-0.4212826171264518	-0.4954584533902006	1.0
IE	-0.6210293600377359	-0.6192726756369077	-0.6088126984838339	1.0
NZ	-0.43435295372788035	-0.4583629436337413	-0.41631065315308535	1.0
AR	-0.35376547014341486	-0.4069565588358748	-0.3688578838114887	1.0
RO	-0.41412667916029444	-0.4178298144866677	-0.4917198586394705	1.0
MY	-0.5653578656266791	-0.6101893401570693	-0.4620057629231171	1.0
SI	-0.5092076917460877	-0.4325368179802327	-0.5210368882797066	1.0
CL	-0.34875176008003717	-0.3608982559294081	-0.35706302322495503	1.0
EG	-0.1126595189303524	-0.18973084890317088	-0.08497966503039864	1.0
TH	-0.3492923316111399	-0.3962479533045621	-0.19619922325923433	1.0
AE	-0.5945398682808597	-0.584395750050912	-0.5358883319428648	1.0
SA	-0.7218521365611483	-0.6616198945002014	-0.6783808630877698	1.0
UY	-0.603048860142183	-0.3532350774639775	-0.6188343322738158	1.0
TN	-0.4864884355057333	-0.4463182191335053	-0.4713765429837567	1.0
JO	-0.4956152426725886	-0.5214594959553494	-0.43771293815352613	1.0
CO	-0.18373156355206713	-0.3142180258689841	-0.3020216345592961	1.0
CY	-0.5736793126719963	-0.5393678082644736	-0.5136411855974526	1.0
ID	-0.548504175085998	-0.6086221620312402	-0.4208678749350714	1.0
HR	-0.5903867449432979	-0.5712016019454108	-0.5437301071069837	1.0
DZ	-0.34693060270955683	-0.45645560474195074	-0.32829378089453587	1.0
SK	-0.4242228220912985	-0.4635993690064068	-0.37401156947525244	1.0
ZA	-0.4322075101329332	-0.33104952438629026	-0.4678648195387599	1.0
RS	-0.21830511896977275	-0.17830689546178935	-0.11005367419818499	1.0
BG	-0.595560284918514	-0.4931696942398594	-0.6140844591217408	1.0
BD	-0.3647268596950128	-0.7102907661712096	-0.11467368257956105	1.0
VN	-0.1301948048101612	-0.06261624509338028	-0.16321053809524036	1.0
MA	0.3959710793994079	0.039691420270952495	0.4939467430760401	1.0
LU	-0.7758530640664257	-0.718428871790483	-0.8117315090939863	1.0
EE	-0.37466000122532844	-0.528680532637681	-0.6175967685117274	1.0
LK	-0.318353828339101	-0.24838789404929348	-0.4828695869061776	1.0
PR	-0.36721068723501754	-0.1608011108707814	-0.32190836421778346	1.0
IS	-0.5644969133787556	-0.5467347214550393	-0.590634924553559	1.0
UA	-0.22720727074899782	-0.1912730139190015	-0.043932717906015696	1.0
QA	-0.6423057164556545	-0.5075194979794356	-0.6962641555398141	1.0
LB	-0.450777766287036	-0.5918583690866751	-0.14018019626252412	1.0
CR	-0.23142853956464096	-0.24408653900944013	-0.2617119612951069	1.0
LT	-0.4976726017934395	-0.41514547760432463	-0.47795490469235125	1.0
MK	-0.46717659215115676	-0.21193552478682443	-0.6264788329667171	1.0
KW	-0.3390317518104052	-0.4871773518462232	-0.382546027838003	1.0
