ID	hIndex	paperNum	citationSum	zeroModelTN	country
2108473615	36	143	4634	0	US
2230673808	1	1	4	0	US
2430159358	4	6	28	0	SG
2639100153	1	2	3	0	US
2001743771	3	6	78	0	DE
145487547	1	1	27	0	SG
2973768292	0	1	0	0	US
2159287428	5	27	62	0	IT
7071958	10	14	429	0	US
2626762723	2	2	161	0	SG
2787139323	1	3	1	0	US
2227303127	5	12	52	0	ES
2231773769	1	1	2	0	
2225972395	3	4	63	0	CA
2553488030	1	3	5	0	RU
2707503730	3	12	34	0	RO
2286091311	4	15	45	0	US
2477602866	29	334	3248	0	IL
2885851425	3	8	39	0	HK
1277437070	8	15	188	0	FR
2144260230	1	1	1	0	CN
2636196605	2	2	34	0	
2202973957	5	5	263	0	US
229879864	4	11	89	0	DE
2124033331	2	2	28	0	US
2171040760	1	2	13	0	GB
2107100953	1	1	36	0	US
2229818249	1	1	11	0	
2505703639	1	2	1	0	US
2176365290	1	1	4	0	
2768319220	0	1	0	0	
2128051339	8	13	340	0	US
2599650906	9	13	598	0	US
2405034779	1	1	1	0	FR
2140556776	1	1	453	0	
2628810425	0	1	0	0	FR
2311019828	4	4	101	0	US
2896190849	0	1	0	0	CN
2473894046	10	36	286	0	AE
2147836937	2	3	165	0	IL
2000108749	15	83	725	0	FI
2310193886	9	24	285	0	FR
159046444	7	9	153	0	GR
2316596299	6	6	230	0	NL
2974071427	2	2	789	0	IN
1987755121	9	17	276	0	SG
2097035225	3	6	39	0	CN
2965596472	0	3	0	0	US
2138762856	2	6	8	0	GB
2111552791	10	48	292	0	CA
2161723673	1	2	5	0	JP
2123882247	2	6	62	0	NL
2608422787	1	1	27	0	IL
2226626640	1	1	5	0	JP
2298459957	1	1	1	0	CN
2633858679	1	1	201	0	
2711435735	1	1	18	0	GB
2152325489	6	19	86	0	CN
2668332944	2	2	5	0	CN
2144397408	1	1	11	0	
2912008687	0	1	0	0	
2899844254	1	1	4	0	US
2568086240	0	1	0	0	
2939864671	0	1	0	0	JP
2730772141	2	2	14	0	US
2646421264	3	5	29	0	US
1984994054	10	19	345	0	GB
2314232819	11	40	450	0	FR
