country	TN_0	TN_1	TN_2	TN_3	TN_4	TN_5	TN_6	TN_7	TN_8	TN_9	TN_10	TN_11	TN_12	TN_INF
US	18	61	421	1249	2925	4644	4459	2185	640	144	37	2	1	5
SG	4	8	26	28	60	103	124	97	31	4	0	0	0	0
DE	3	5	51	157	408	682	662	367	107	30	5	0	0	0
IT	1	5	29	61	185	316	320	167	46	18	1	0	0	0
ES	1	3	15	40	120	216	330	234	91	41	4	0	0	0
CA	3	19	52	194	337	448	500	226	120	55	6	0	0	0
RU	1	0	5	11	16	38	36	38	22	5	4	0	0	0
RO	1	2	5	8	19	35	27	17	6	4	0	0	0	0
IL	3	10	81	194	236	183	83	36	16	1	0	0	0	0
HK	1	1	12	26	65	51	88	73	10	6	2	0	0	0
FR	5	8	46	145	288	536	720	438	82	11	0	0	0	0
CN	6	14	66	131	319	766	959	830	270	62	13	2	0	0
GB	4	9	32	116	235	423	538	369	143	31	5	0	0	1
AE	1	8	16	12	2	7	13	8	1	1	0	0	0	0
FI	1	0	0	2	13	53	67	61	16	6	1	0	0	0
GR	1	1	10	13	51	76	72	42	11	5	7	0	0	0
NL	2	2	21	28	77	148	179	156	42	9	2	0	0	0
IN	1	2	5	37	89	192	282	307	141	21	1	0	0	0
JP	4	5	40	78	140	279	377	276	143	33	3	0	0	0
TH	0	2	0	2	4	22	20	5	16	3	1	0	0	0
IS	0	1	1	1	0	1	5	7	1	0	0	0	0	0
PL	0	3	7	8	51	56	93	76	50	38	19	7	1	0
AT	0	2	2	9	47	102	78	74	27	19	1	0	0	0
CO	0	1	1	2	5	7	23	16	1	1	0	0	0	0
KR	0	1	12	21	85	240	342	342	187	42	0	0	0	0
SE	0	1	1	9	47	113	91	68	24	14	1	0	0	0
CH	0	2	6	22	85	128	112	82	26	2	0	0	0	0
NZ	0	1	6	10	29	41	33	17	4	1	0	0	0	0
PR	0	1	5	0	2	2	1	2	2	4	0	0	0	0
