country	aveTN
US	5.268616704396521
SG	5.373195876288659
DE	5.384335890189746
IT	5.391644908616188
ES	5.906849315068493
CA	5.301020408163265
RU	5.909090909090909
RO	5.258064516129032
IL	4.1518386714116255
HK	5.405970149253731
FR	5.488372093023256
CN	5.840314136125654
GB	5.648293963254593
AE	3.9130434782608696
FI	6.109090909090909
GR	5.442906574394463
NL	5.6741741741741745
IN	6.128942486085343
JP	5.761248185776488
TH	6.053333333333334
IS	5.764705882352941
PL	6.444987775061125
AT	5.85595567867036
CO	5.807017543859649
KR	6.248427672955975
SE	5.780487804878049
CH	5.445161290322581
NZ	5.084507042253521
PR	5.315789473684211
BR	6.034206695778749
AU	5.696933962264151
CZ	6.543478260869565
VN	5.566666666666666
BY	6.142857142857143
HU	5.465346534653466
LU	5.12
DK	5.713395638629284
PK	6.852380952380952
MA	5.966666666666667
TN	6.467741935483871
CL	6.114942528735632
TW	6.474854932301741
MX	6.4576271186440675
IR	6.031413612565445
NP	2.0
NO	5.229437229437229
SK	5.72093023255814
CY	5.452830188679245
IE	5.777027027027027
AR	5.872
TR	6.281524926686217
SA	6.246376811594203
FJ	5.333333333333333
VE	5.142857142857143
JM	5.714285714285714
MT	4.0
BE	5.848360655737705
PT	6.2029850746268655
JO	5.983050847457627
EG	7.309523809523809
LB	5.769230769230769
DZ	6.159090909090909
MY	6.326530612244898
HT	5.0
OM	5.5
BG	6.594594594594595
RS	6.682926829268292
GF	4.0
LT	7.181818181818182
BD	7.147058823529412
KZ	6.625
QA	6.076923076923077
SI	6.457446808510638
UA	6.25
PH	8.3
ZA	6.761904761904762
UY	6.8059701492537314
LK	5.333333333333333
EE	6.380952380952381
CU	6.0
GP	6.0
ID	7.60377358490566
HN	5.0
VA	5.0
HR	5.958333333333333
CR	6.545454545454546
DJ	5.5
ME	5.5
GE	5.5
EC	7.285714285714286
TZ	5.0
BN	5.0
MO	6.125
CW	5.0
NG	6.5
ET	6.0
MD	5.5
IQ	7.0
KW	6.8
SN	6.666666666666667
BH	7.2
AL	6.75
PA	7.0
PF	7.2
MK	6.909090909090909
AM	6.0
KH	6.0
KE	6.0
GT	6.0
BA	6.0
TT	7.666666666666667
LV	7.0
GU	7.0
ZW	7.0
PE	7.0
GH	7.0
SD	8.0
RW	8.0
BO	9.0
