country	hIndex	paperNum	citationSum	NullModelTN
US	-0.2769720393135018	-0.26471602649897624	-0.2560445870535594	1.0
CN	-0.2012110976539201	-0.17978492692804562	-0.19162260227601638	1.0
DE	-0.2748034715078049	-0.2587959415993052	-0.24174706310257205	1.0
FR	-0.28546213201103543	-0.27235778757683526	-0.26380037160736614	1.0
CA	-0.19861967191110436	-0.1948555526602035	-0.17011330704425	1.0
GB	-0.27789110301863224	-0.2762072913443442	-0.24498061851598446	1.0
JP	-0.18493591133708523	-0.17923809305526534	-0.1595157201429525	1.0
BR	-0.22038339318118166	-0.2502915454311692	-0.19274320847311688	1.0
KR	-0.2337214680037887	-0.22827950023062837	-0.19486750405607456	1.0
IT	-0.2795048763441199	-0.293719348735919	-0.25842739985276947	1.0
ES	-0.2899266880045011	-0.2621093612462285	-0.26183347442372007	1.0
IN	-0.26201710865536254	-0.25394911244608415	-0.2630558147982935	1.0
TW	-0.15679947313654807	-0.16052694139620383	-0.12047633019995484	1.0
AU	-0.24705571912523328	-0.2522771726291559	-0.22835994094652762	1.0
IL	-0.24944332616737175	-0.24321963002004815	-0.25335667199396406	1.0
NL	-0.2602698671109921	-0.2587580749607806	-0.22031406262062075	1.0
SG	-0.22292990101957078	-0.18366673362644395	-0.19686344081849166	1.0
CH	-0.252265477894742	-0.2051111699805725	-0.2812976755105384	1.0
PL	-0.24090676712489187	-0.23213202677749645	-0.22818103784158775	1.0
IR	-0.165785483482651	-0.17336912398622137	-0.10633939635753668	1.0
SE	-0.24386236707174844	-0.23014430526184204	-0.23442514276113735	1.0
AT	-0.27513481360947134	-0.23616702316841742	-0.27709489151649563	1.0
TR	-0.23539370735688991	-0.2228202875784208	-0.21271503341268147	1.0
HK	-0.24490719777532785	-0.2514285535662768	-0.228480762511555	1.0
PT	-0.26874080004645284	-0.23115362116628071	-0.24258540929166947	1.0
DK	-0.3318843138851136	-0.35107440179914184	-0.2992784185375932	1.0
GR	-0.32401545951112254	-0.31447027993148424	-0.26502964209276303	1.0
BE	-0.2506488391476678	-0.26150843067729235	-0.20845560727572499	1.0
NO	-0.2990204282047559	-0.2834757450912386	-0.222270632387511	1.0
CZ	-0.23413294623073358	-0.19797606814313642	-0.21399131212676017	1.0
FI	-0.32351680838956437	-0.33946291889179625	-0.31793579862560406	1.0
PK	-0.2009440507729999	-0.2493876845352924	-0.2288685318637899	1.0
HU	-0.3162834072550378	-0.28106427618807023	-0.31954317939069504	1.0
MX	-0.22296776349118877	-0.15489008962803164	-0.18607597937380965	1.0
RU	-0.2497527285800147	-0.21279761097972952	-0.27302797811008334	1.0
IE	-0.21405358677125505	-0.21751227555364078	-0.19054711203649657	1.0
NZ	-0.1667823793465318	-0.1958873352216799	-0.10263988982779661	1.0
AR	-0.22735518114695713	-0.30304441293300083	-0.2602522355558565	1.0
RO	-0.32839052987634987	-0.24119363939881305	-0.3220172679681264	1.0
MY	-0.18292957629368603	-0.2630866403638796	-0.20427788646997272	1.0
SI	-0.3960670386157149	-0.3334779708105184	-0.41979825629200906	1.0
CL	-0.2732961430779009	-0.2567464782386239	-0.3074549643226243	1.0
EG	0.0015123116536074393	-0.04292173542259371	0.013767663434807037	1.0
TH	-0.17233156496839586	-0.17507103632140816	-0.08886585317262219	1.0
AE	-0.12737979937788382	-0.07381610937866355	-0.10771431887662365	1.0
SA	-0.3982163787280727	-0.3911028911390868	-0.32890365712247654	1.0
UY	-0.45672396517824676	-0.22053522687304028	-0.4168829711970312	1.0
TN	-0.28332793381144605	-0.25487792735131576	-0.2370424415616738	1.0
JO	-0.15279017865442793	-0.19602536984779012	-0.16221856301043902	1.0
CO	-0.22511551754444156	-0.21921686762708212	-0.2653340475392297	1.0
CY	-0.20059541207619305	-0.18617252385387723	-0.1451494501952179	1.0
ID	-0.4289161109301223	-0.46339842691994304	-0.34192688456203374	1.0
HR	-0.596236020642958	-0.5510862719865356	-0.5460965474284558	1.0
DZ	-0.0838609029044439	-0.25057033510834487	-0.08089697973125999	1.0
SK	-0.14225360343314092	-0.2293652063229202	-0.11515067414849509	1.0
ZA	-0.3689728364230204	-0.24441340782122903	-0.3807698798493568	1.0
RS	-0.13122903389669166	-0.09838524195456969	-0.11169524646594865	1.0
BG	-0.48342452282820036	-0.35708739804354195	-0.48240788712755933	1.0
BD	-0.14866225054901802	-0.47270177847449246	0.030126070256025105	1.0
VN	0.22193488399382735	0.07555939683173858	0.11015467483629406	1.0
MA	0.21447610589527216	-0.048924859618940685	0.24734668458944392	1.0
LU	-0.4478559045608747	-0.44545879954355616	-0.5091265763580615	1.0
EE	-0.35887941464074186	-0.30914434038161476	-0.48880569246389066	1.0
LK	-0.27676687355253154	-0.3204945449022358	-0.5224275265745632	1.0
PR	-0.18775132640635675	-0.267941724965514	-0.05736674829708941	1.0
IS	-0.4008918628686366	-0.3118047822311618	-0.3567530340063379	1.0
UA	-0.2388844985924064	-0.3188935899216566	-0.17541160386140583	1.0
QA	-0.38036288715636535	-0.22511258444537408	-0.39723067327713724	1.0
LB	-0.5409836065573771	-0.6319669897036374	-0.21886734967869412	1.0
CR	-0.4283836420813328	-0.18146654657782443	-0.41550015922716765	1.0
LT	-0.31589887589559384	-0.3383303246607605	-0.19391446622548786	1.0
MK	-0.7273340668525836	0.04883862905055043	-0.8027266799048056	1.0
KW	0.0	-0.31635851969867795	0.02707651805369412	1.0
