country	hIndex	paperNum	citationSum	NullModelTN
US	-0.3119837808397722	-0.23894295811292934	-0.18931957941056685	1.0
CN	-0.21805856412762098	-0.13411846902843358	-0.12484641081347134	1.0
DE	-0.2960603361242177	-0.24949400108993	-0.13247788095234928	1.0
FR	-0.3112473667044239	-0.27422090208668726	-0.15567185438965847	1.0
CA	-0.24201331452962038	-0.17519466307205064	-0.11596829367752316	1.0
GB	-0.335814108293765	-0.2899998760768778	-0.18898996905935664	1.0
JP	-0.20265835644397354	-0.15804839895117703	-0.11636498558116547	1.0
BR	-0.2783131694754869	-0.24312181145017195	-0.19737463316565967	1.0
KR	-0.271620411974638	-0.2048579104739582	-0.1529871607215796	1.0
IT	-0.32351752012765317	-0.2852842608374942	-0.23038336165643727	1.0
ES	-0.33790263399987885	-0.2646385965724899	-0.1777963145717699	1.0
IN	-0.2991626736539811	-0.22858159859264457	-0.19005693568127696	1.0
TW	-0.21578606342185794	-0.16434817301536747	-0.1980129193245058	1.0
AU	-0.30951839532950337	-0.24611194741102002	-0.1821478530618459	1.0
IL	-0.32897112159331615	-0.28870978387607554	-0.2315258106456181	1.0
NL	-0.28978186444272663	-0.21559551183184447	-0.1822781581833817	1.0
SG	-0.19790756651342578	-0.15271974705751704	-0.11323161212409004	1.0
CH	-0.2698629136134194	-0.20156628125267534	-0.17669131883653164	1.0
PL	-0.2786059982256781	-0.25822223507200187	-0.18944160164614962	1.0
IR	-0.16811225551551068	-0.1921128575491705	-0.0899262006601191	1.0
SE	-0.33110207361829364	-0.32060969617032065	-0.2533895400946622	1.0
AT	-0.36833294152859825	-0.2658125756674443	-0.2793103843356113	1.0
TR	-0.29981489101932907	-0.25125262516431596	-0.24977918197412471	1.0
HK	-0.26112199034823896	-0.17713827014601713	-0.16109230877963496	1.0
PT	-0.2864203762057907	-0.1832543679514678	-0.17275555114707974	1.0
DK	-0.4010733439165488	-0.3248919055922993	-0.2791178358165802	1.0
GR	-0.3114775143397577	-0.22426885911859612	-0.16290592454595534	1.0
BE	-0.33302574360585385	-0.28204761901508935	-0.2694479868761073	1.0
NO	-0.3059979501488112	-0.20628358961293577	-0.17069240512825337	1.0
CZ	-0.3510027829195676	-0.2904220040557708	-0.27272451514353574	1.0
FI	-0.3569936980420223	-0.32627174444598117	-0.19600449486282986	1.0
PK	-0.24042730090549344	-0.22243500044244388	-0.2085011566799468	1.0
HU	-0.43406646893812567	-0.37035487002603745	-0.31833650147183706	1.0
MX	-0.30421144090460117	-0.23812024887940073	-0.17022806699745058	1.0
RU	-0.35955890308880284	-0.27786567879618373	-0.2740242908399263	1.0
IE	-0.22277730091498035	-0.2009038322482206	-0.18113825592917457	1.0
NZ	-0.2293851794626456	-0.3202073485303182	-0.13110522643874106	1.0
AR	-0.3794366660371045	-0.3782758639124713	-0.305027582285571	1.0
RO	-0.336943963872121	-0.24683723180533068	-0.07824229480775641	1.0
MY	-0.22095463076930097	-0.26723756240676627	-0.13853340332301844	1.0
SI	-0.3773967545977444	-0.2874260703496674	-0.2610525603247483	1.0
CL	-0.4779722419498543	-0.43067018369393756	-0.45886365012950187	1.0
EG	-0.103923132439053	-0.09251051165096962	-0.11044948106715459	1.0
TH	-0.22920170157410633	-0.22018618222934194	-0.22114793854850054	1.0
AE	-0.16645769690726223	-0.1758863399553779	-0.12861165635175556	1.0
SA	-0.4216006647413109	-0.40278266177168365	-0.3206057135118765	1.0
UY	-0.49029434842344377	-0.30006274933125404	-0.2782030881587042	1.0
TN	-0.17499081255074003	-0.08618304922026428	-0.01160401831650639	1.0
JO	-0.1440357887147635	-0.1888769479134382	-0.09665771256759281	1.0
CO	-0.36121617522376714	-0.21349441121476948	-0.49233533046279654	1.0
CY	-0.341644002971375	-0.35522555900973374	-0.3106044203413895	1.0
ID	-0.5201679011821574	-0.465278262334099	-0.07415109669119656	1.0
HR	-0.6161701242479088	-0.48866322957716507	-0.4262272970840822	1.0
DZ	-0.0720880240011153	-0.17765271772610178	-0.10076058905140853	1.0
SK	-0.24811689698252098	-0.3419944084596277	-0.2633413746363898	1.0
ZA	-0.3748137764934827	-0.3793091305393969	-0.15005785278763836	1.0
RS	-0.11200797983084751	-0.09905429914342302	-0.03279291082852231	1.0
BG	-0.460865087915206	-0.3405747490337199	-0.3110780338771324	1.0
BD	-0.253687070077811	-0.26443164588254076	-0.2411570553552554	1.0
VN	0.3315142589935122	0.3994365764175522	0.21537561069480568	1.0
MA	0.1817020414946377	-0.07389497850515858	-0.13249058269615466	1.0
LU	-0.5398455931726979	-0.5420220654188774	-0.5010644904072489	1.0
EE	-0.464158246918226	-0.4266274493635651	-0.45485534968738295	1.0
LK	-0.3494335038099607	-0.35424407500847294	-0.3589670730176898	1.0
PR	-0.17342911766464914	-0.21972715840335275	-0.08733467575549388	1.0
IS	-0.5798003925640857	-0.5349390699072136	-0.5048056889462099	1.0
UA	-0.30374113816866327	-0.23336141527589607	-0.2976500797674953	1.0
QA	-0.34404029808617503	-0.26088219295846654	-0.2665419907891067	1.0
LB	-0.4811270424609765	-0.6053261623156198	-0.15399696793168888	1.0
CR	-0.6100888760865631	-0.26612143822165596	-0.7811039681569811	1.0
LT	-0.1559217163410856	-0.1387588903955916	-0.14067960717454	1.0
MK	-0.6062908661633669	-0.40578463940871523	-0.5081399574172047	1.0
KW	0.0	-0.27380540579907847	0.03158156419271793	1.0
