country	hIndex	paperNum	citationSum	NullModelTN
US	-0.3523001730724011	-0.3406989523942914	-0.3429097216946874	1.0
CN	-0.24861682635351307	-0.22561264756375107	-0.2541195750474794	1.0
DE	-0.34968823231375573	-0.3355316090333682	-0.3242325241042577	1.0
FR	-0.3611210086042129	-0.3509821426998701	-0.35374404255895536	1.0
CA	-0.25376965638956955	-0.2508370665004153	-0.23174358226561792	1.0
GB	-0.3538301231872079	-0.35935553278397303	-0.33143552786695796	1.0
JP	-0.23361011608154944	-0.22780970809118742	-0.2166636261807348	1.0
BR	-0.27385365717204774	-0.31399360514738295	-0.25484287851939924	1.0
KR	-0.29413372667576393	-0.29245612504839114	-0.2618429837731051	1.0
IT	-0.36070608139505567	-0.3835045124085249	-0.3477162228847961	1.0
ES	-0.36974665674052365	-0.3400985482782848	-0.3506124627780378	1.0
IN	-0.3214576053787042	-0.3179432591149643	-0.3479601607322072	1.0
TW	-0.193022057368919	-0.2000748052995324	-0.16016570222478357	1.0
AU	-0.3159556127445732	-0.32875815570847344	-0.30632282916299824	1.0
IL	-0.3194981762887366	-0.31595682252889673	-0.3403708203370292	1.0
NL	-0.32707017521696297	-0.325523040935098	-0.2943695499630271	1.0
SG	-0.28934726804886685	-0.23511321272862137	-0.2715445940981853	1.0
CH	-0.3227997593295673	-0.26798469818433146	-0.3759426777478154	1.0
PL	-0.31290103811687386	-0.3038394374994528	-0.31244687751824	1.0
IR	-0.20257780654986127	-0.2148033377762153	-0.14415634466292432	1.0
SE	-0.30886799776639307	-0.29617864555628753	-0.31155078298582795	1.0
AT	-0.3579782275706911	-0.31116482594350586	-0.3724983843998339	1.0
TR	-0.2870417413399195	-0.2792884559324342	-0.2788343474045145	1.0
HK	-0.3164917607361379	-0.3318857258162373	-0.30944463056770377	1.0
PT	-0.34006584928080646	-0.2970741663071855	-0.32386112982677034	1.0
DK	-0.4105789846749194	-0.44204659765891063	-0.38960810717373756	1.0
GR	-0.42098853031504146	-0.4191271605573316	-0.3640879948595557	1.0
BE	-0.32302691783899545	-0.34087514053496815	-0.28543009038476824	1.0
NO	-0.3797491845075715	-0.3688097403213944	-0.302035191794689	1.0
CZ	-0.3036504705484805	-0.2627832977785034	-0.2897378748476103	1.0
FI	-0.3977221994942117	-0.41791937985964667	-0.41390087483695903	1.0
PK	-0.24158991740781866	-0.30702838957647416	-0.29539423483760685	1.0
HU	-0.38541970014621546	-0.3511599555549724	-0.41662898087294065	1.0
MX	-0.26852542720135136	-0.1930074555388087	-0.24015827094767508	1.0
RU	-0.31985299377950877	-0.27547653825390994	-0.3727206004826532	1.0
IE	-0.26669756245959386	-0.2736086963029901	-0.250858456371328	1.0
NZ	-0.2153908822981429	-0.24912094591155928	-0.1380781168742975	1.0
AR	-0.27202885673277594	-0.37220668594708056	-0.32465469166767214	1.0
RO	-0.4112117398372837	-0.3099939855460288	-0.4372994936569662	1.0
MY	-0.21460075713050047	-0.3250312596239176	-0.2546137794393405	1.0
SI	-0.48203587144607685	-0.41535167905354864	-0.5414279129974767	1.0
CL	-0.3305980324102706	-0.3234325976002309	-0.4010436653994569	1.0
EG	0.0036821384841719796	-0.04966416145778343	0.016104919748909378	1.0
TH	-0.20463832087012415	-0.20933669011889186	-0.11337735177172374	1.0
AE	-0.1610155950249243	-0.11036609919409447	-0.14515302806989053	1.0
SA	-0.5038854846124035	-0.48041883474516583	-0.4488292060216784	1.0
UY	-0.551561030721301	-0.27253484668122613	-0.5375139193696629	1.0
TN	-0.35239472274034495	-0.3286022476424376	-0.3189633601218164	1.0
JO	-0.19027034853220448	-0.24882387133076478	-0.211135487270068	1.0
CO	-0.27386025878414133	-0.26747143685880803	-0.3314497373595212	1.0
CY	-0.23917458422512844	-0.22911863542014996	-0.17533782856288713	1.0
ID	-0.5253964867061846	-0.5677487028343806	-0.4369967382185356	1.0
HR	-0.6609880745834653	-0.6193048936671195	-0.6492208155314217	1.0
DZ	-0.09049582482937032	-0.30794694627056546	-0.09610654385142071	1.0
SK	-0.17182041109128304	-0.274927352114637	-0.15100431472533674	1.0
ZA	-0.44810811934913086	-0.3021146629394203	-0.48031484849513634	1.0
RS	-0.17829637787754513	-0.12084324264282302	-0.15025003830206637	1.0
BG	-0.5873646193823034	-0.43306928458544103	-0.6047217868719271	1.0
BD	-0.16080572083404057	-0.595863611642641	0.05644665097561905	1.0
VN	0.2541857226019339	0.08957389660748684	0.1283147445616782	1.0
MA	0.27371124010629927	-0.06107316635304398	0.3924034783190475	1.0
LU	-0.5552890044122287	-0.5483917584783575	-0.6282550459015468	1.0
EE	-0.3957324066745036	-0.3905234553876372	-0.591637090865433	1.0
LK	-0.30108529024640085	-0.34966192084080555	-0.6001543064607296	1.0
PR	-0.22730208119306575	-0.3199120298074826	-0.08639631118296294	1.0
IS	-0.4908348507949658	-0.39342539903589535	-0.45954041382872984	1.0
UA	-0.2903993754039823	-0.38255909271148364	-0.21085312567822329	1.0
QA	-0.4022025119145702	-0.250309429248456	-0.4192446208715009	1.0
LB	-0.5803270112535251	-0.685424649255445	-0.24735632616580278	1.0
CR	-0.4858987147293248	-0.20780235364840838	-0.48079557356702424	1.0
LT	-0.337026406217573	-0.3888781940808189	-0.23045551910394568	1.0
MK	-0.781005357128941	0.01538967528127731	-0.8845606954382239	1.0
KW	-0.017546560158589908	-0.38661195857079456	0.032997729834278414	1.0
